Stocks,Market Cap,Sector,Company Name,Nifty 50,BANKNIFTY,Nifty F&O,FINNIFTY,NIFTY AUTO,NIFTY IT,NIFTY FMCG,NIFTY METAL,NIFTY PHARMA,NIFTY OIL & GAS
SUNDARMFIN,Mid Cap,Financial Services,Sundaram Finance Ltd.,,,,,,,,,,
SUNDRMFAST,Mid Cap,Automobile and Auto Components,Sundram Fasteners Ltd.,,,,,,,,,,
SUNTV,Mid Cap,Media Entertainment & Publication,Sun TV Network Ltd.,,,NIFTY F&O,,,,,,,
SUPREMEIND,Mid Cap,Capital Goods,Supreme Industries Ltd.,,,,,,,,,,
SYNGENE,Mid Cap,Healthcare,Syngene International Ltd.,,,NIFTY F&O,,,,,,,
TATACHEM,Mid Cap,Chemicals,Tata Chemicals Ltd.,,,NIFTY F&O,,,,,,,
TATACOMM,Mid Cap,Telecommunication,Tata Communications Ltd.,,,NIFTY F&O,,,,,,,
TATAELXSI,Mid Cap,Information Technology,Tata Elxsi Ltd.,,,,,,,,,,
THERMAX,Mid Cap,Capital Goods,Thermax Ltd.,,,,,,,,,,
TIINDIA,Mid Cap,Automobile and Auto Components,Tube Investments of India Ltd.,,,,,NIFTY AUTO,,,,,
TIMKEN,Mid Cap,Capital Goods,Timken India Ltd.,,,,,,,,,,
TORNTPOWER,Mid Cap,Power,Torrent Power Ltd.,,,,,,,,,,
TRENT,Mid Cap,Consumer Services,Trent Ltd.,,,NIFTY F&O,,,,,,,
TRIDENT,Mid Cap,Textiles,Trident Ltd.,,,,,,,,,,
TTML,Mid Cap,Telecommunication,Tata Teleservices (Maharashtra) Ltd.,,,,,,,,,,
TVSMOTOR,Mid Cap,Automobile and Auto Components,TVS Motor Company Ltd.,,,NIFTY F&O,,NIFTY AUTO,,,,,
UBL,Mid Cap,Fast Moving Consumer Goods,United Breweries Ltd.,,,NIFTY F&O,,,,NIFTY FMCG,,,
UNIONBANK,Mid Cap,Financial Services,Union Bank of India,,,,,,,,,,
UNOMINDA,Mid Cap,Automobile and Auto Components,UNO Minda Ltd.,,,,,,,,,,
VINATIORGA,Mid Cap,Chemicals,Vinati Organics Ltd.,,,,,,,,,,
VOLTAS,Mid Cap,Consumer Durables,Voltas Ltd.,,,NIFTY F&O,,,,,,,
WHIRLPOOL,Mid Cap,Consumer Durables,Whirlpool of India Ltd.,,,,,,,,,,
YESBANK,Mid Cap,Financial Services,Yes Bank Ltd.,,,,,,,,,,
